communication_change ,communication_methods                                          ,communication_topics                                                                                                            ,funding_past_change  ,funding_current                                                                                ,funding_current_change ,funding_management ,funding_past            ,funding_purposes                                                                  ,funding_purposes_change ,governance_change               ,governance_contributors ,governance_contributors_decisions ,governance_disagreements ,governance_method ,governance_new_decision_makers ,legal_current             ,legal_current_change ,legal_current_reason ,legal_past                ,legal_past_reason    ,licenses_current_change ,licenses_current_reason ,licenses_current                             ,licenses_enforcement                           ,licenses_past_change_reason ,licenses_past       ,project_age ,project_type
                     ,tracker                                                        ,bug-reports feature-requests                                                                                                    ,limited-time-funding ,self-funding                                                                                   ,                       ,monarchy           ,revenue-support-funding ,none                                                                              ,                        ,                                ,1                       ,all                               ,                         ,monarchy          ,pay-to-play                    ,individual                ,                     ,ecosystem            ,                          ,                     ,                        ,                        ,gpl-3.0                                      ,voluntary                                      ,                            ,                    ,          4 ,P
                     ,chat tracker wiki social                                       ,release-announcements bug-reports feature-requests docs roadmap                                                                 ,                     ,self-funding                                                                                   ,                       ,monarchy           ,                        ,none                                                                              ,                        ,                                ,1                       ,all                               ,                         ,monarchy          ,                               ,individual                ,                     ,values               ,                          ,                     ,anti-corporate          ,hobby                   ,agpl-3.0                                     ,voluntary litigation                           ,                            ,                    ,          1 ,P
                     ,chat website tracker social announcement-list                  ,bug-reports feature-requests support docs roadmap funding-requests cve-announcements release-announcements                      ,                     ,collective-funding sponsor-funding                                                             ,more-from-large-users  ,monarchy           ,                        ,part-time-pay infrastructure professional-services                                ,                        ,                                ,11-50                   ,some                              ,                         ,monarchy          ,invitation                     ,individual                ,fiscal-or-governance ,values               ,                          ,                     ,forced-pay              ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,          7 ,L
                     ,social forum announcement-list tracker chat                    ,bug-reports support release-announcements                                                                                       ,                     ,revenue-support-funding revenue-product-funding                                                ,                       ,oligarchy          ,                        ,part-time-pay infrastructure professional-services                                ,                        ,                                ,2-10                    ,most                              ,consensus                ,oligarchy         ,invitation                     ,corporate-core-project    ,                     ,values               ,                          ,                     ,                        ,formal-governance       ,agpl-3.0                                     ,voluntary                                      ,                            ,                    ,          7 ,P
                     ,tracker                                                        ,bug-reports docs release-announcements                                                                                          ,                     ,self-funding                                                                                   ,                       ,none               ,                        ,none                                                                              ,                        ,                                ,2-10                    ,all                               ,consensus                ,participatory     ,invitation                     ,collective                ,                     ,ecosystem            ,                          ,                     ,                        ,community-governance    ,gpl-2.0                                      ,voluntary                                      ,                            ,                    ,          5 ,P
                     ,chat website tracker                                           ,roadmap labor-requests funding-requests cve-announcements release-announcements bug-reports feature-requests support docs       ,                     ,self-funding sponsor-funding revenue-support-funding gov-grant-funding nonprofit-grant-funding ,                       ,oligarchy          ,                        ,part-time-pay infrastructure                                                      ,                        ,                                ,2-10                    ,most                              ,                         ,oligarchy         ,invitation                     ,nonprofit-subsidiary      ,                     ,values               ,                          ,                     ,                        ,                        ,eupl-1.2                                     ,contributor-licensing user-licensing           ,                            ,                    ,          5 ,P
                     ,wiki tracker social website office-hours                       ,feature-requests bug-reports support docs roadmap release-announcements labor-requests                                          ,limited-time-funding ,self-funding                                                                                   ,grants-too-little      ,oligarchy          ,nonprofit-grant-funding ,none                                                                              ,                        ,better-documented-process       ,2-10                    ,most                              ,                         ,oligarchy         ,invitation                     ,collective                ,fiscal-or-governance ,values               ,                          ,                     ,                        ,hobby                   ,cc0-1.0                                      ,voluntary                                      ,                            ,                    ,          3 ,PL
                     ,website                                                        ,support docs                                                                                                                    ,                     ,self-funding                                                                                   ,                       ,monarchy           ,                        ,none                                                                              ,                        ,                                ,1                       ,all                               ,                         ,monarchy          ,                               ,nonprofit                 ,                     ,                     ,                          ,                     ,                        ,                        ,gpl-3.0                                      ,contributor-licensing user-licensing           ,                            ,                    ,          1 ,L
                     ,chat tracker                                                   ,bug-reports feature-requests support release-announcements                                                                      ,                     ,self-funding                                                                                   ,                       ,monarchy           ,                        ,infrastructure                                                                    ,                        ,                                ,2-10                    ,some                              ,                         ,oligarchy         ,invitation                     ,collective                ,                     ,                     ,                          ,                     ,dual-license            ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,          3 ,L
centralize           ,chat website forum                                             ,roadmap release-announcements                                                                                                   ,                     ,self-funding collective-funding                                                                ,                       ,oligarchy          ,                        ,infrastructure                                                                    ,                        ,                                ,2-10                    ,some                              ,bdfl                     ,oligarchy         ,invitation                     ,individual                ,                     ,ecosystem            ,                          ,                     ,no-evil                 ,hobby                   ,mit                                          ,voluntary                                      ,                            ,                    ,         10 ,L
                     ,chat discussion-list website social                            ,bug-reports feature-requests roadmap docs                                                                                       ,                     ,nonprofit-grant-funding self-funding                                                           ,                       ,oligarchy          ,                        ,part-time-pay                                                                     ,                        ,                                ,2-10                    ,most                              ,                         ,oligarchy         ,not-possible                   ,individual                ,become-nonprofit     ,funding-requirement  ,                          ,                     ,                        ,hobby                   ,gpl-2.0 gpl-3.0                              ,voluntary                                      ,                            ,                    ,          7 ,PL
                     ,discussion-list tracker announcement-list                      ,bug-reports feature-requests support roadmap docs                                                                               ,                     ,self-funding                                                                                   ,                       ,oligarchy          ,                        ,infrastructure                                                                    ,                        ,                                ,2-10                    ,some                              ,                         ,oligarchy         ,                               ,collective                ,                     ,                     ,education                 ,transfered-ownership ,                        ,community-governance    ,gpl-2.0 gpl-3.0                              ,voluntary                                      ,                            ,                    ,         10 ,L
                     ,chat tracker social                                            ,bug-reports feature-requests support docs roadmap funding-requests open-finances release-announcements                          ,                     ,collective-funding sponsor-funding gov-grant-funding                                           ,                       ,participatory      ,                        ,full-time-pay                                                                     ,                        ,                                ,11-50                   ,half                              ,                         ,participatory     ,                               ,nonprofit-subsidiary      ,                     ,                     ,                          ,                     ,                        ,fiscal                  ,cc-by-4.0 cc0-1.0 apache-2.0                 ,voluntary                                      ,                            ,                    ,          3 ,L
                     ,tracker chat                                                   ,bug-reports feature-requests support docs cve-announcements release-announcements                                               ,                     ,self-funding                                                                                   ,                       ,monarchy           ,                        ,none                                                                              ,                        ,                                ,2-10                    ,some                              ,                         ,monarchy          ,invitation                     ,individual                ,                     ,values               ,                          ,                     ,                        ,hobby                   ,0bsd                                         ,voluntary                                      ,                            ,                    ,          3 ,L
                     ,discussion-list                                                ,bug-reports feature-requests support cve-announcements release-announcements docs roadmap labor-requests                        ,                     ,sponsor-funding internal-funding                                                               ,                       ,oligarchy          ,                        ,full-time-pay infrastructure professional-services                                ,fund-contributors       ,                                ,51+                     ,some                              ,bdfl                     ,oligarchy         ,election                       ,nonprofit                 ,                     ,historical           ,                          ,                     ,                        ,                        ,gpl-2.0                                      ,litigation contributor-licensing               ,                            ,                    ,         32 ,P
                     ,tracker forum                                                  ,bug-reports feature-requests support cve-announcements release-announcements                                                    ,                     ,self-funding                                                                                   ,                       ,oligarchy          ,                        ,infrastructure                                                                    ,                        ,                                ,2-10                    ,some                              ,majority                 ,monarchy          ,invitation                     ,collective                ,                     ,ecosystem            ,                          ,                     ,                        ,                        ,gpl-2.0 agpl-3.0                             ,voluntary                                      ,                            ,                    ,         16 ,L
                     ,chat tracker website                                           ,bug-reports feature-requests support cve-announcements release-announcements                                                    ,                     ,revenue-support-funding sponsor-funding                                                        ,                       ,oligarchy          ,                        ,full-time-pay                                                                     ,                        ,                                ,11-50                   ,some                              ,bdfl                     ,oligarchy         ,invitation                     ,collective                ,                     ,ecosystem            ,                          ,                     ,                        ,                        ,apache-2.0                                   ,voluntary                                      ,                            ,                    ,          5 ,L
                     ,chat discussion-list social website                            ,bug-reports support feature-requests                                                                                            ,                     ,self-funding gov-grant-funding                                                                 ,                       ,participatory      ,                        ,full-time-pay                                                                     ,                        ,                                ,11-50                   ,half                              ,                         ,oligarchy         ,                               ,nonprofit                 ,                     ,                     ,                          ,                     ,                        ,formal-governance       ,mit                                          ,voluntary                                      ,                            ,                    ,         12 ,P
                     ,chat tracker forum social                                      ,bug-reports feature-requests roadmap release-announcements support docs                                                         ,                     ,internal-funding gov-grant-funding                                                             ,                       ,oligarchy          ,                        ,part-time-pay full-time-pay                                                       ,                        ,introduce-proposals-process     ,2-10                    ,some                              ,majority                 ,oligarchy         ,company-internal               ,nonprofit-nontech-project ,become-nonprofit     ,values               ,                          ,                     ,                        ,fiscal                  ,apache-2.0                                   ,voluntary user-licensing contributor-licensing ,                            ,                    ,          5 ,PL
                     ,chat tracker website                                           ,bug-reports feature-requests support docs roadmap release-announcements                                                         ,                     ,sponsor-funding                                                                                ,                       ,corporate          ,                        ,full-time-pay                                                                     ,                        ,                                ,2-10                    ,some                              ,bdfl                     ,monarchy          ,not-possible                   ,corporate-noncore-project ,                     ,                     ,                          ,                     ,                        ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,          2 ,P
something-tbd        ,chat announcement-list website tracker discussion-list         ,bug-reports feature-requests docs support release-announcements roadmap                                                         ,                     ,gov-grant-funding                                                                              ,less-feast-or-famine   ,oligarchy          ,                        ,full-time-pay part-time-pay infrastructure                                        ,                        ,                                ,11-50                   ,half                              ,consensus                ,participatory     ,fully-participatory            ,collective                ,transfer-ownership   ,ecosystem            ,                          ,                     ,better-fit              ,community-governance    ,bsd-3-clause                                 ,voluntary                                      ,less-restrictive            ,bsd-2-clause-patent ,          7 ,P
                     ,tracker website chat                                           ,bug-reports feature-requests support docs roadmap release-announcements                                                         ,                     ,internal-funding                                                                               ,                       ,oligarchy          ,                        ,full-time-pay                                                                     ,                        ,                                ,2-10                    ,some                              ,                         ,oligarchy         ,                               ,corporate-noncore-project ,                     ,                     ,                          ,                     ,                        ,                        ,apache-2.0                                   ,voluntary                                      ,                            ,                    ,          7 ,L
                     ,chat tracker                                                   ,bug-reports feature-requests support                                                                                            ,                     ,self-funding                                                                                   ,                       ,none               ,                        ,none                                                                              ,                        ,                                ,2-10                    ,some                              ,                         ,oligarchy         ,invitation                     ,collective                ,                     ,                     ,                          ,                     ,                        ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,          4 ,L
                     ,chat wiki tracker social                                       ,bug-reports feature-requests support docs roadmap release-announcements                                                         ,                     ,collective-funding nonprofit-grant-funding                                                     ,grants-too-little      ,oligarchy          ,                        ,infrastructure part-time-pay                                                      ,                        ,expand-decision-making          ,51+                     ,some                              ,consensus                ,oligarchy         ,application                    ,collective                ,become-nonprofit     ,ecosystem            ,collective                ,transfered-ownership ,                        ,                        ,agpl-3.0 mpl-2.0 apache-2.0 bsd-2-clause mit ,voluntary                                      ,                            ,                    ,          7 ,PL
                     ,chat forum wiki tracker social website                         ,bug-reports feature-requests support docs roadmap cve-announcements release-announcements                                       ,                     ,sponsor-funding revenue-support-funding                                                        ,                       ,corporate          ,                        ,full-time-pay infrastructure professional-services                                ,                        ,                                ,11-50                   ,some                              ,consensus                ,oligarchy         ,company-internal               ,corporate-noncore-project ,                     ,ecosystem            ,                          ,                     ,                        ,                        ,apache-2.0                                   ,voluntary                                      ,                            ,                    ,          7 ,L
                     ,tracker                                                        ,bug-reports feature-requests                                                                                                    ,                     ,self-funding                                                                                   ,                       ,monarchy           ,                        ,none                                                                              ,                        ,                                ,2-10                    ,some                              ,                         ,monarchy          ,                               ,nonprofit                 ,                     ,values               ,                          ,                     ,                        ,                        ,gpl-3.0                                      ,voluntary                                      ,                            ,                    ,         11 ,L
                     ,chat tracker                                                   ,bug-reports feature-requests support docs roadmap cve-announcements release-announcements                                       ,                     ,collective-sponsor-funding                                                                     ,                       ,participatory      ,                        ,infrastructure professional-services                                              ,                        ,                                ,51+                     ,some                              ,                         ,participatory     ,invitation                     ,nonprofit-subsidiary      ,                     ,                     ,                          ,                     ,                        ,                        ,gpl-3.0                                      ,voluntary user-licensing                       ,                            ,                    ,         17 ,PL
                     ,chat forum tracker                                             ,bug-reports feature-requests support roadmap cve-announcements release-announcements                                            ,                     ,sponsor-funding collective-funding                                                             ,                       ,oligarchy          ,                        ,full-time-pay part-time-pay infrastructure professional-services feature-bounties ,                        ,                                ,11-50                   ,some                              ,                         ,oligarchy         ,company-internal               ,corporate-core-project    ,become-nonprofit     ,funding-requirement  ,                          ,                     ,                        ,                        ,gpl-3.0                                      ,voluntary                                      ,funding                     ,mit                 ,         10 ,P
                     ,website tracker social email                                   ,feature-requests bug-reports support docs release-announcements                                                                 ,                     ,self-funding                                                                                   ,                       ,monarchy           ,                        ,infrastructure                                                                    ,                        ,                                ,2-10                    ,some                              ,bdfl                     ,monarchy          ,                               ,individual                ,fiscal-or-governance ,values               ,                          ,                     ,                        ,                        ,gpl-3.0                                      ,voluntary                                      ,                            ,                    ,         15 ,P
centralize           ,discussion-list announcement-list forum website tracker social ,bug-reports feature-requests support docs roadmap cve-announcements release-announcements                                       ,                     ,gov-grant-funding                                                                              ,more-from-large-users  ,oligarchy          ,                        ,part-time-pay                                                                     ,fund-contributors       ,                                ,2-10                    ,most                              ,committee                ,oligarchy         ,invitation                     ,collective                ,                     ,values               ,                          ,                     ,                        ,community-governance    ,apache-2.0                                   ,voluntary                                      ,                            ,                    ,          5 ,PL
                     ,chat discussion-list tracker social                            ,bug-reports feature-requests support roadmap release-announcements                                                              ,                     ,nonprofit-grant-funding self-funding                                                           ,more-from-large-users  ,oligarchy          ,                        ,part-time-pay                                                                     ,                        ,                                ,11-50                   ,some                              ,consensus                ,oligarchy         ,invitation                     ,nonprofit-subsidiary      ,                     ,values               ,collective                ,for-fundraising      ,                        ,fiscal                  ,bsd-3-clause                                 ,voluntary                                      ,                            ,                    ,          5 ,PL
                     ,chat tracker website                                           ,bug-reports feature-requests support labor-requests funding-requests release-announcements cve-announcements docs open-finances ,                     ,collective-funding                                                                             ,                       ,oligarchy          ,                        ,infrastructure                                                                    ,                        ,                                ,11-50                   ,some                              ,                         ,oligarchy         ,not-possible                   ,collective                ,                     ,                     ,                          ,                     ,better-fit              ,                        ,cc0-1.0                                      ,voluntary                                      ,                            ,                    ,         10 ,PL
                     ,chat website tracker social                                    ,bug-reports feature-requests support docs roadmap cve-announcements release-announcements                                       ,                     ,revenue-product-funding collective-sponsor-funding self-funding                                ,more-from-large-users  ,oligarchy          ,                        ,full-time-pay infrastructure                                                      ,                        ,expand-decision-making          ,51+                     ,half                              ,majority                 ,participatory     ,invitation                     ,nonprofit-subsidiary      ,                     ,ecosystem            ,                          ,                     ,                        ,formal-governance       ,apache-2.0 gpl-2.0                           ,voluntary                                      ,                            ,                    ,          8 ,P
                     ,chat tracker                                                   ,bug-reports feature-requests support docs roadmap                                                                               ,                     ,collective-funding                                                                             ,                       ,monarchy           ,                        ,infrastructure                                                                    ,                        ,                                ,2-10                    ,some                              ,                         ,oligarchy         ,                               ,nonprofit-subsidiary      ,become-nonprofit     ,ecosystem            ,corporate-noncore-project ,transfered-ownership ,                        ,                        ,apache-2.0                                   ,voluntary                                      ,                            ,                    ,          4 ,L
                     ,chat discussion-list tracker forum social                      ,bug-reports feature-requests support docs roadmap release-announcements                                                         ,                     ,self-funding                                                                                   ,                       ,none               ,                        ,none                                                                              ,                        ,add-formal-leadership-structure ,2-10                    ,some                              ,consensus                ,oligarchy         ,invitation                     ,collective                ,                     ,ecosystem            ,                          ,                     ,                        ,community-governance    ,artistic-1.0-perl gpl-1.0-or-later           ,voluntary                                      ,                            ,                    ,         28 ,L
                     ,chat tracker social                                            ,bug-reports feature-requests support docs roadmap labor-requests open-finances release-announcements                            ,                     ,self-funding collective-funding                                                                ,                       ,monarchy           ,                        ,part-time-pay feature-bounties                                                    ,                        ,                                ,11-50                   ,some                              ,bdfl                     ,oligarchy         ,invitation                     ,collective                ,become-nonprofit     ,values               ,                          ,                     ,better-fit              ,community-governance    ,apache-2.0                                   ,voluntary                                      ,                            ,                    ,          4 ,PL
                     ,chat forum website wiki tracker                                ,bug-reports feature-requests support docs roadmap cve-announcements release-announcements                                       ,                     ,collective-funding self-funding sponsor-funding                                                ,                       ,oligarchy          ,                        ,part-time-pay infrastructure                                                      ,                        ,                                ,51+                     ,some                              ,consensus                ,oligarchy         ,invitation                     ,collective                ,fiscal-or-governance ,historical           ,                          ,                     ,                        ,                        ,bsd-3-clause                                 ,voluntary                                      ,                            ,                    ,         15 ,L
                     ,chat website tracker social                                    ,bug-reports feature-requests support docs roadmap cve-announcements release-announcements                                       ,                     ,collective-funding self-funding                                                                ,                       ,oligarchy          ,                        ,infrastructure                                                                    ,                        ,                                ,11-50                   ,some                              ,                         ,oligarchy         ,invitation                     ,nonprofit                 ,                     ,                     ,                          ,                     ,                        ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,         18 ,L
                     ,tracker                                                        ,bug-reports feature-requests support docs                                                                                       ,                     ,self-funding                                                                                   ,                       ,monarchy           ,                        ,none                                                                              ,                        ,                                ,2-10                    ,some                              ,bdfl                     ,monarchy          ,invitation                     ,individual                ,                     ,                     ,                          ,                     ,                        ,                        ,lgpl-2.1                                     ,voluntary                                      ,                            ,                    ,          1 ,L
                     ,chat social tracker                                            ,release-announcements support bug-reports feature-requests docs                                                                 ,                     ,self-funding collective-funding                                                                ,                       ,oligarchy          ,                        ,infrastructure                                                                    ,                        ,                                ,2-10                    ,some                              ,                         ,monarchy          ,                               ,individual                ,                     ,                     ,                          ,                     ,                        ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,         25 ,L
                     ,tracker forum website wiki chat                                ,bug-reports feature-requests support docs roadmap labor-requests cve-announcements release-announcements                        ,                     ,sponsor-funding                                                                                ,                       ,participatory      ,                        ,full-time-pay professional-services infrastructure                                ,                        ,                                ,51+                     ,some                              ,                         ,oligarchy         ,                               ,corporate-noncore-project ,                     ,                     ,                          ,                     ,                        ,                        ,apache-2.0                                   ,contributor-licensing                          ,                            ,                    ,          4 ,L
                     ,chat tracker social website                                    ,bug-reports feature-requests docs release-announcements support                                                                 ,                     ,collective-funding                                                                             ,                       ,participatory      ,                        ,bug-bounties feature-bounties                                                     ,                        ,                                ,11-50                   ,some                              ,                         ,oligarchy         ,invitation                     ,collective                ,                     ,                     ,                          ,                     ,                        ,                        ,bsd-3-clause                                 ,voluntary                                      ,                            ,                    ,         15 ,L
                     ,chat forum tracker website                                     ,bug-reports feature-requests support docs roadmap funding-requests cve-announcements release-announcements                      ,sponsorship-ended    ,collective-funding sponsor-funding revenue-other-funding                                       ,                       ,monarchy           ,sponsor-funding         ,full-time-pay infrastructure professional-services                                ,                        ,                                ,11-50                   ,some                              ,bdfl                     ,oligarchy         ,invitation                     ,individual                ,                     ,historical           ,                          ,                     ,                        ,hobby                   ,agpl-3.0                                     ,voluntary                                      ,                            ,                    ,         12 ,P
something-tbd        ,tracker social website forum email                             ,bug-reports feature-requests support docs roadmap funding-requests release-announcements                                        ,                     ,collective-funding revenue-support-funding                                                     ,grants-too-little      ,oligarchy          ,                        ,professional-services feature-bounties bug-bounties                               ,fund-contributors       ,expand-decision-making          ,2-10                    ,some                              ,bdfl                     ,monarchy          ,invitation                     ,collective                ,                     ,ecosystem            ,                          ,                     ,better-fit              ,                        ,mit                                          ,voluntary                                      ,                            ,                    ,         11 ,L
                     ,chat forum website tracker social                              ,bug-reports feature-requests roadmap labor-requests funding-requests cve-announcements release-announcements support            ,                     ,collective-funding sponsor-funding                                                             ,                       ,monarchy           ,                        ,full-time-pay infrastructure professional-services                                ,                        ,add-formal-leadership-structure ,11-50                   ,some                              ,bdfl                     ,oligarchy         ,invitation                     ,individual                ,fiscal-or-governance ,values               ,                          ,                     ,forced-pay              ,hobby                   ,bsd-3-clause                                 ,voluntary                                      ,                            ,                    ,         10 ,L
                     ,wiki tracker chat social                                       ,bug-reports feature-requests support docs funding-requests cve-announcements                                                    ,                     ,collective-funding revenue-support-funding                                                     ,grants-too-little      ,monarchy           ,                        ,part-time-pay infrastructure                                                      ,                        ,                                ,2-10                    ,some                              ,                         ,monarchy          ,                               ,individual                ,become-nonprofit     ,values               ,                          ,                     ,forced-pay              ,hobby                   ,agpl-3.0                                     ,voluntary                                      ,more-restrictive            ,apache-2.0          ,          8 ,P
